table,project,sponsors,link
???,Avenue VR,,http://bitcamp16.devpost.com/submissions/52373-avenue-vr
???,NetRideVR,"Oculus Best Use of VR, Northrop Grumman Best User Interface Utilizes Hardware and Software , BookHolders Best App/Program Using Internet Sourced Data, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52374-netridevr
???,Moosic,"FINRA Music Challenge, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52375-moosic
???,Intraconnect,"Best Hack to Serve College Park , MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52376-intraconnect
53C,Emojify,"BookHolders Best App/Program Using Internet Sourced Data, MLH Best Developer Tool, MLH Best Beginner Hack, Cipher Tech's Best Digital Forensics Related Hack, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52377-emojify
51C,Mind the Wait,Best Hack of the Credible API,http://bitcamp16.devpost.com/submissions/52378-mind-the-wait
???,Centsible,"Best use of Capital One's API, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), BookHolders Best App/Program Using Internet Sourced Data",http://bitcamp16.devpost.com/submissions/52379-centsible
???,StockTunes,"FINRA Music Challenge, BookHolders Best App/Program Using Internet Sourced Data, MLH Best Developer Tool",http://bitcamp16.devpost.com/submissions/52381-stocktunes
???,Synesthesia,"FINRA Music Challenge, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!)",http://bitcamp16.devpost.com/submissions/52382-synesthesia
???,Automantic,"Best Hack to Serve College Park , MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52383-automantic
36E,Virtual Stargazer,Oculus Best Use of VR,http://bitcamp16.devpost.com/submissions/52384-virtual-stargazer
???,What does Dan Hlavenka Look Like - Table 47,"MLH Best Domain Name from Domain.com, Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), OPIS Best Visualization of Hardware Collected Data, BookHolders Best App/Program Using Internet Sourced Data, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52385-what-does-dan-hlavenka-look-like-table-47
???,VR Musical Studio,"FINRA Music Challenge, Oculus Best Use of VR, Northrop Grumman Best User Interface Utilizes Hardware and Software , MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52386-vr-musical-studio
???,PiGuard,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software , Best Hack to Serve College Park , Cipher Tech's Best Digital Forensics Related Hack, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52387-piguard
???,DodgeBatt,Oculus Best Use of VR,http://bitcamp16.devpost.com/submissions/52388-dodgebatt
???,Rock-Paper-Myo,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data, Best Hack to Serve College Park , MLH Best Developer Tool",http://bitcamp16.devpost.com/submissions/52389-rock-paper-myo
???,Posteur,"BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), BookHolders Best App/Program Using Internet Sourced Data, MLH Best Developer Tool, Cipher Tech's Best Digital Forensics Related Hack",http://bitcamp16.devpost.com/submissions/52390-posteur
???,Testudo_Alerts,BookHolders Best App/Program Using Internet Sourced Data,http://bitcamp16.devpost.com/submissions/52391-testudo_alerts
???,SmartPitch,"Best Hack Built with IBM Watson Bluemix APIs, Booz Allen Hamilton's Best Internet of Things (IoT) Hack",http://bitcamp16.devpost.com/submissions/52392-smartpitch
???,MarketCapVis,"FINRA Music Challenge, Oculus Best Use of VR",http://bitcamp16.devpost.com/submissions/52393-marketcapvis
???,Sign Waves,"Best Use of Intel Edison , Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data, Best Hack to Serve College Park ",http://bitcamp16.devpost.com/submissions/52394-sign-waves
